company,slug,platform,job_count
William Blair,williamblair,greenhouse,47
General Atlantic,generalatlantic,greenhouse,15
BCG,bcg,greenhouse,3
KPMG,kpmg,lever,0
Oliver Wyman,oliverwyman,lever,2
Jane Street,janestreet,greenhouse,233
Optiver,optiver,greenhouse,0
Akuna Capital,akunacapital,greenhouse,35
Point72,point72,greenhouse,239
Tower Research Capital,towerresearchcapital,greenhouse,85
Jump Trading,jumptrading,greenhouse,110
Belvedere Trading,belvederetrading,lever,14
Flow Traders,flowtraders,greenhouse,42
Credit Agricole CIB,creditagricolecib,greenhouse,1
LionTree,liontree,greenhouse,2
Ducera Partners,ducerapartners,greenhouse,7
MTS Partners,mtspartners,lever,0
AQ Technology Partners,aqtechnologypartners,greenhouse,3
Brown Gibbons Lang & Company,browngibbonslangcompany,greenhouse,9
Lincoln International,lincolninternational,greenhouse,42
Shea & Company,sheacompany,greenhouse,0
D.A. Davidson,dadavidson,lever,33
B. Riley Securities,brileysecurities,greenhouse,3
Level Equity,levelequity,greenhouse,1
Long Ridge,longridge,greenhouse,0
Walleye Capital,walleyecapital,greenhouse,0
Alpine Investors,alpineinvestors,greenhouse,1
Evergreen Services Group,evergreenservicesgroup,greenhouse,7
Bessemer Venture Partners,bessemerventurepartners,greenhouse,4
Koch,koch,greenhouse,0
Orion Group,oriongroup,greenhouse,11
GCM Grosvenor,gcmgrosvenor,greenhouse,11
Bracebridge Capital,bracebridgecapital,greenhouse,3
Audax Group,audaxgroup,greenhouse,16
Weiss Asset Management,weissassetmanagement,greenhouse,2
Oak Hill Advisors,oakhilladvisors,greenhouse,7
Readystate,readystate,greenhouse,1
Roark Capital Group,roarkcapitalgroup,greenhouse,2
The Riverside Company,theriversidecompany,greenhouse,3
GTCR,gtcr,greenhouse,0
Adams Street Partners,adamsstreetpartners,greenhouse,18
AgWest Farm Credit,agwestfarmcredit,greenhouse,14
American Securities,americansecurities,greenhouse,0
Viking Global Investors,vikingglobalinvestors,greenhouse,3
Lone Pine Capital,lonepinecapital,greenhouse,0
Marshall Wace,marshallwace,greenhouse,0
Man Group,mangroup,greenhouse,52
General Catalyst,generalcatalyst,greenhouse,1
Index Ventures,indexventures,lever,0
Digital Bridge,digitalbridge,greenhouse,5
EQT Partners,eqtpartners,greenhouse,21
Permira,permira,greenhouse,0
UVIMCO,uvimco,greenhouse,2
Abdiel Capital,abdielcapital,greenhouse,0
Artisan Partners,artisanpartners,greenhouse,14
Harris Associates,harrisassociates,greenhouse,5
Ariel Investments,arielinvestments,greenhouse,1
Cohen & Steers,cohensteers,greenhouse,27
Baron Capital,baroncapital,greenhouse,3
GMO,gmo,lever,10
AlixPartners,alixpartners,greenhouse,115
Charles River Associates,charlesriverassociates,greenhouse,77
Compass Lexecon,compasslexecon,lever,0
The Brattle Group,thebrattlegroup,greenhouse,53
Point B,pointb,lever,9
ClearView Healthcare Partners,clearviewhealthcarepartners,greenhouse,33
GSA Capital,gsacapital,greenhouse,9
TransMarket Group,transmarketgroup,greenhouse,18
Voloridge Investment Management,voloridgeinvestmentmanagement,greenhouse,7
Aquatic Capital Management,aquaticcapitalmanagement,greenhouse,8
DV Trading,dvtrading,greenhouse,62
Squarepoint Capital,squarepointcapital,greenhouse,95
Xantium,xantium,greenhouse,7
PDT Partners,pdtpartners,greenhouse,10
Old Mission Capital,oldmissioncapital,greenhouse,35
Simplex Trading,simplextrading,greenhouse,5
WorldQuant,worldquant,greenhouse,104
Engineers Gate,engineersgate,greenhouse,7
MetLife,metlife,lever,39
Moore Colson,moorecolson,lever,16
Sweeney Conrad,sweeneyconrad,greenhouse,7
Schneider Downs,schneiderdowns,greenhouse,17
Forvis Mazars,forvismazars,greenhouse,185
Frazier & Deeter,frazierdeeter,greenhouse,167
AlphaSights,alphasights,greenhouse,82
Stripe,stripe,greenhouse,574
Airbnb,airbnb,greenhouse,171
Databricks,databricks,greenhouse,857
Anthropic,anthropic,greenhouse,571
LinkedIn,linkedin,greenhouse,53
Coinbase,coinbase,greenhouse,188
Robinhood,robinhood,greenhouse,129
Disney,disney,greenhouse,2
